Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Customer,Date,KG,EBITDA/KG
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,Fickelgruber,2/2020,211540.75757575763,0.19655043723877985
Pound,Chocolate Outer,Cheesecake,Egg Nog,Tiffany,Zebrabar,2/2020,19286.94968553459,0.3040402104545205
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,Zebrabar,2/2020,124348.89322916669,0.12816255800325327
Pound,Chocolate Outer,Cheesecake,Hazelnut,Tiffany,Perk-a-Cola,2/2020,1236.25,0.16748395921450365
Pound,Chocolate Outer,Cherry Cola,Egg Nog,Opal,Zebrabar,2/2020,1075.3255208333335,0.25186199372829143
Pound,Chocolate Outer,Cherry Cola,Egg Nog,White,Dandy's Candies,2/2020,4793.829296424452,0.29512683726955397
Pound,Chocolate Outer,Coffee,Egg Nog,Opal,Zebrabar,2/2020,3403.3448673587077,0.21036364721782647
Pound,Chocolate Outer,Coffee,Egg Nog,White,Dandy's Candies,2/2020,50574.625,0.057712133210200064
Pound,Chocolate Outer,Irish Cream,Egg Nog,Opal,Fickelgruber,2/2020,3695.444059976932,0.042252231082708896
Pound,Chocolate Outer,Irish Cream,Egg Nog,White,Fickelgruber,2/2020,6965.361445783133,-0.07432230746591163
Pound,Chocolate Outer,Lemon Custard,Egg Nog,Opal,Zebrabar,2/2020,2611.25,0.20418140988434258
Pound,Chocolate Outer,Lemon Custard,Egg Nog,White,Dandy's Candies,2/2020,1992.4528301886792,0.08937286546111836
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,Slugworth,2/2020,9304.668674698794,0.38401244442828036
Pound,Chocolate Outer,Mango,Egg Nog,Black,Slugworth,2/2020,314.32038834951464,0.1943937920869992
Pound,Chocolate Outer,Mango,Egg Nog,Opal,Dandy's Candies,2/2020,2054.328561690525,0.15578787155703167
Pound,Chocolate Outer,Mango,Egg Nog,White,Zebrabar,2/2020,9306.611111111111,0.33485069596215095
Pound,Chocolate Outer,Mango,Fuzzy Navel,Black,Slugworth,2/2020,131.55526992287918,0.33558447323465024
Pound,Chocolate Outer,Mango,Fuzzy Navel,Opal,Dandy's Candies,2/2020,837.8787878787879,0.1627668105536109
Pound,Chocolate Outer,Mango,Fuzzy Navel,White,Dandy's Candies,2/2020,608.4770114942529,0.2603426132461192
Pound,Chocolate Outer,Mango,Mojito,Black,Zebrabar,2/2020,36.37096774193548,0.29275908547962826
Pound,Chocolate Outer,Mango,Mojito,Olive,Dandy's Candies,2/2020,103.3653846153846,0.2581875217012684
Pound,Chocolate Outer,Mango,Mojito,Opal,Zebrabar,2/2020,345.6428571428572,0.21052719426720884
Pound,Chocolate Outer,Mango,Mojito,White,Perk-a-Cola,2/2020,191.11111111111111,0.21792356602236684
Pound,Chocolate Outer,Sour,Butter Rum,Tiffany,Zebrabar,2/2020,62.168396770472896,0.21006736930417913
Pound,Chocolate Outer,Sour,Egg Nog,Black,Slugworth,2/2020,411.1303344867358,0.27540073582458746
Pound,Chocolate Outer,Sour,Egg Nog,Opal,Slugworth,2/2020,5038.387096774193,0.15393334759197477
Pound,Chocolate Outer,Sour,Egg Nog,White,Zebrabar,2/2020,10736.622807017544,0.154596496635065
Sponge,Chocolate Outer,Amaretto,Egg Nog,Olive,Perk-a-Cola,2/2020,19129.33333333333,0.7946566389262247
Sponge,Chocolate Outer,Blueberry,Egg Nog,Olive,Perk-a-Cola,2/2020,19569.69230769231,1.5082680161067672
Sponge,Chocolate Outer,Blueberry,Egg Nog,Opal,Slugworth,2/2020,11.175616835994196,0.724260602125298
Sponge,Chocolate Outer,Butter Milk,Egg Nog,Opal,Perk-a-Cola,2/2020,41871.69230769231,0.4462043148497954
Sponge,Chocolate Outer,Chocolate Mint,Egg Nog,Opal,Dandy's Candies,2/2020,1901.1290322580646,0.5959569671135235
Sponge,Chocolate Outer,Coconut,Egg Nog,Opal,Fickelgruber,2/2020,8250.491573033707,0.7396215968370391
Sponge,Chocolate Outer,Dill Pickle,Egg Nog,Olive,Dandy's Candies,2/2020,40608.41346153846,0.760415577005547
Sponge,Chocolate Outer,Dill Pickle,Egg Nog,Opal,Slugworth,2/2020,150.36549707602342,0.5908263815020002
Sponge,Chocolate Outer,Gingersnap,Egg Nog,Olive,Perk-a-Cola,2/2020,39307.041139240515,0.5739299273050376
Sponge,Chocolate Outer,Gingersnap,Egg Nog,Opal,Zebrabar,2/2020,20.098039215686274,0.5902151351692267
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,Fickelgruber,2/2020,3272.80163599182,-0.033855602202115004
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,Zebrabar,2/2020,11555.9375,0.08897884461213904
Tiramisu,Chocolate Outer,Chocolate,Rock and Rye,Teal,Slugworth,2/2020,64.01384083044982,-0.1790156867336746
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,Perk-a-Cola,2/2020,8608.709677419354,1.0951029146694673
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Teal,Zebrabar,2/2020,7892.142857142857,0.37278452737910217
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,Fickelgruber,2/2020,4057.832278481013,0.32250226034679136
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Teal,Fickelgruber,2/2020,356.66666666666674,0.2588648349877128
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,Fickelgruber,2/2020,38128.80258899677,0.2488715056316921
Tiramisu,Chocolate Outer,Doughnut,Pear,Burgundy,Zebrabar,2/2020,108.64285714285714,0.4464616286843188
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,Zebrabar,2/2020,3517.933333333333,0.3955944753517193
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,Slugworth,2/2020,10146.898432174508,0.1600081619880694
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,Zebrabar,2/2020,1271.904761904762,0.1601368102025443
Butter,Candy Outer,Butter Pecan,Toffee,Taupe,Slugworth,3/2020,40735.10802469136,0.17404841379370706
Butter,Candy Outer,Ginger Lime,Banana,Amethyst,Slugworth,3/2020,466477.57812500006,0.1309334375384846
Butter,Candy Outer,Ginger Lime,Banana,Burgundy,Perk-a-Cola,3/2020,51795.97953216374,0.12762032306108995
Butter,Candy Outer,Ginger Lime,Banana,White,Fickelgruber,3/2020,13671.296296296296,0.2786527485387086
Butter,Candy Outer,Ginger Lime,Rum,Amethyst,Fickelgruber,3/2020,12274.009146341465,0.21477201829178233
Butter,Candy Outer,Ginger Lime,Rum,Burgundy,Fickelgruber,3/2020,371.2903225806451,0.14086427838655852
Butter,Candy Outer,Ginger Lime,Tutti Frutti,Amethyst,Slugworth,3/2020,12317.397660818711,0.12374513788166058
Butter,Candy Outer,Ginger Lime,Vanilla,Amethyst,Zebrabar,3/2020,119015.43674698795,0.1665868088984464
Butter,Candy Outer,Margarita,Mixed Berry,Amethyst,Slugworth,3/2020,47142.928571428565,0.2919409950048776
Butter,Candy Outer,Pear,Whipped Cream,White,Zebrabar,3/2020,936.2804878048779,0.24992558388494512
Butter,Candy Outer,Pink Lemonade,Banana,Amethyst,Dandy's Candies,3/2020,2729.705056179775,0.08654477191359967
Butter,Candy Outer,Raspberry Ginger Ale,Banana,Amethyst,Slugworth,3/2020,16918.132716049382,0.3809077742994346
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Amethyst,Slugworth,3/2020,64983.421383647816,0.2708517191271549
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Burgundy,Slugworth,3/2020,117.22222222222223,0.33294626487005974
Butter,Candy Outer,Sassafras,Apricot,Amethyst,Fickelgruber,3/2020,74.78571428571429,0.009007958620519271
Butter,Candy Outer,Spice,Passion Fruit,Amethyst,Fickelgruber,3/2020,5456.578050443081,0.20096097396895005
Butter,Candy Outer,Spice,Passion Fruit,White,Zebrabar,3/2020,2010.9477124183009,0.2726235698018432
Butter,Candy Outer,Spice,Whipped Cream,Amethyst,Zebrabar,3/2020,93302.72435897436,0.33590218998627536
Butter,Candy Outer,Spice,Whipped Cream,Burgundy,Slugworth,3/2020,42.48417721518987,0.12733772298756668
Butter,Candy Outer,Spice,Whipped Cream,White,Zebrabar,3/2020,3665.8097686375318,0.23661854496004847
Butter,Candy Outer,Wild Cherry Cream,Apricot,Amethyst,Fickelgruber,3/2020,207.39062500000003,-0.0682774785090359
Butter,Chocolate Outer,Cream Soda,Peppermint,Amethyst,Zebrabar,3/2020,140637.14285714287,0.31316690580320933
Butter,Chocolate Outer,Cream Soda,Peppermint,Burgundy,Dandy's Candies,3/2020,3798.9285714285716,0.2157526512928353
Butter,Chocolate Outer,Horchata,Dill Pickle,Amethyst,Fickelgruber,3/2020,90677.41228070176,0.09296944474283889
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Amethyst,Dandy's Candies,3/2020,23123.5,0.036080915233095576
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Black,Zebrabar,3/2020,109.66666666666669,0.23248811173219802
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Burgundy,Perk-a-Cola,3/2020,538.8571428571429,0.03382003079549814
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Opal,Slugworth,3/2020,9076.930817610064,0.17091618820745683
Butter,Chocolate Outer,Kettle Corn,Black Cherry,White,Fickelgruber,3/2020,3569.0359477124184,0.28162045194985513
Butter,Chocolate Outer,Lemon Bar,Wild Cherry Cream,Amethyst,Dandy's Candies,3/2020,45601.615168539334,-0.16198128908318907
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Amethyst,Perk-a-Cola,3/2020,79091.23475609756,-0.04145706661102255
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Burgundy,Perk-a-Cola,3/2020,1432.2712418300653,0.011346596995412834
Butter,Chocolate Outer,Plum,Black Cherry,Amethyst,Fickelgruber,3/2020,15110.75,0.22873325191660082
Butter,Chocolate Outer,Plum,Black Cherry,Opal,Fickelgruber,3/2020,15244.632812500002,0.09875165649761554
Butter,Chocolate Outer,Plum,Black Cherry,White,Perk-a-Cola,3/2020,20527.75432525952,0.03527326683254703
Butter,Chocolate Outer,Plum,Mango,Black,Slugworth,3/2020,3578.592162554427,0.06325986605227367
Butter,Jelly Filled,Orange,Cucumber,Amethyst,Slugworth,3/2020,21438.1875,0.21030052636689137
Butter,Jelly Filled,Orange,Cucumber,Burgundy,Dandy's Candies,3/2020,15617.489114658929,0.1987617263418842
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Citrine,Slugworth,3/2020,329.7142857142857,0.36864453350129944
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Rose,Perk-a-Cola,3/2020,26081.56401384083,0.5582261984140479
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Slate,Perk-a-Cola,3/2020,818.1891025641024,0.4204974716348091
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Teal,Zebrabar,3/2020,2185.3410740203194,0.39449371600021543
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,White,Perk-a-Cola,3/2020,1702.1929824561405,0.41897671162436523
Cheese,Chocolate Outer,Lemon,Egg Nog,Rose,Slugworth,3/2020,663176.1973875181,0.30695448472505804
Cheese,Chocolate Outer,Lemon,Egg Nog,Teal,Dandy's Candies,3/2020,678.7183544303797,0.3391007386919421
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,Teal,Zebrabar,3/2020,1868.867924528302,-0.15257571500645814
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,White,Slugworth,3/2020,1347.0,0.058496627030028614
Chiffon,Chocolate Outer,Apricot,Egg Nog,White,Dandy's Candies,3/2020,86.24595469255665,0.1771619298282075
Chiffon,Chocolate Outer,Birch Beer,Egg Nog,White,Slugworth,3/2020,181.55526992287918,0.1770172966863658
Chiffon,Chocolate Outer,Cherry Cream Spice,Egg Nog,White,Perk-a-Cola,3/2020,10245.87593728698,0.08598155683370848
Chiffon,Chocolate Outer,Creme de Menthe,Egg Nog,White,Zebrabar,3/2020,31412.04644412192,0.060340339600116574
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,Perk-a-Cola,3/2020,1968.8904494382025,-0.015369576685246106
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,Black,Zebrabar,3/2020,85.32258064516128,0.17676867322174883
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,Fickelgruber,3/2020,14626.074074074077,0.2957486193992206
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,Slugworth,3/2020,11791.8,0.23968223198432567
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,Fickelgruber,3/2020,13504.20634920635,0.1229973074385436
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,Perk-a-Cola,3/2020,83347.75862068968,0.0650780251808392
Chiffon,Chocolate Outer,Grand Mariner,Pear,White,Slugworth,3/2020,579.0625,0.20048738997480203
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,Opal,Slugworth,3/2020,8173.714285714284,0.17452856334542213
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,White,Dandy's Candies,3/2020,471.91011235955057,0.032188661745423786
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,Dandy's Candies,3/2020,1630.1966292134832,0.21370527947869522
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,Perk-a-Cola,3/2020,5872.384615384615,0.0686376720892661
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,Fickelgruber,3/2020,2854.854368932039,0.08335473411032548
Chiffon,Chocolate Outer,Plum,Egg Nog,Opal,Perk-a-Cola,3/2020,1180.5379746835442,0.2747967960097131
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,Black,Perk-a-Cola,3/2020,176.36477987421384,-0.050715809097627726
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,White,Fickelgruber,3/2020,30698.857142857138,-0.00048442992819176453
Chiffon,Chocolate Outer,Watermelon,Egg Nog,Opal,Perk-a-Cola,3/2020,2637.8993710691825,0.08620492812094546
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,Slugworth,3/2020,114208.8534107402,0.07024753447238063
Chiffon,Chocolate Outer,Wintergreen,Egg Nog,White,Zebrabar,3/2020,18557.572327044025,0.0636241199999054
Pound,Candy Outer,Vanilla,Tangerine,Black,Zebrabar,3/2020,712.4603174603176,0.24711151496747857
Pound,Candy Outer,Vanilla,Tangerine,Opal,Fickelgruber,3/2020,2499.2017416545723,0.31465184005306573
Pound,Candy Outer,Vanilla,Tangerine,White,Fickelgruber,3/2020,5712.3367198838905,0.26112958771357303
Pound,Chocolate Outer,Bavarian Cream,Apple,Tiffany,Dandy's Candies,3/2020,4463.780120481927,0.3318619941294363
Pound,Chocolate Outer,Bavarian Cream,Black Currant,Tiffany,Dandy's Candies,3/2020,14.663461538461537,0.34263859832150756
Pound,Chocolate Outer,Bavarian Cream,Kiwi,Tiffany,Perk-a-Cola,3/2020,2540.0,0.27499092054817315
Pound,Chocolate Outer,Bavarian Cream,Lemon,Tiffany,Zebrabar,3/2020,5071.7861635220115,0.12380226617926669
Pound,Chocolate Outer,Bavarian Cream,Tangerine,Tiffany,Fickelgruber,3/2020,220.55016181229772,0.0168532226397336
Pound,Chocolate Outer,Black Licorice,Egg Nog,Opal,Perk-a-Cola,3/2020,3786.966463414634,0.39336256993239516
Pound,Chocolate Outer,Black Licorice,Egg Nog,White,Slugworth,3/2020,1529.7752808988766,0.4217548615135836
Pound,Chocolate Outer,Caramel Cream,Apple,Opal,Fickelgruber,3/2020,773.5849056603773,0.34887560387882355
Pound,Chocolate Outer,Caramel Cream,Apple,White,Slugworth,3/2020,579.7777777777778,0.29484295234440316
Pound,Chocolate Outer,Caramel Cream,Black Currant,Opal,Perk-a-Cola,3/2020,13121.345911949686,0.2753080534618527
Pound,Chocolate Outer,Caramel Cream,Black Currant,White,Dandy's Candies,3/2020,188.7692307692308,0.3646810952874826
Pound,Chocolate Outer,Caramel Cream,Kiwi,Black,Zebrabar,3/2020,102.64285714285714,0.27356842906823153
Pound,Chocolate Outer,Caramel Cream,Kiwi,Opal,Perk-a-Cola,3/2020,1254.4444444444443,0.027925812843797526
Pound,Chocolate Outer,Caramel Cream,Kiwi,White,Fickelgruber,3/2020,2647.5,0.11111568850636992
Pound,Chocolate Outer,Caramel Cream,Lemon,Black,Dandy's Candies,3/2020,440.859375,0.19718529104040772
Pound,Chocolate Outer,Caramel Cream,Lemon,Opal,Dandy's Candies,3/2020,2002.1844660194174,0.10748888111693086
Pound,Chocolate Outer,Caramel Cream,Lemon,White,Dandy's Candies,3/2020,12691.209677419352,0.005537792423767313
Pound,Chocolate Outer,Cheesecake,Egg Nog,Black,Fickelgruber,3/2020,2566.693548387097,0.3120024307017606
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,Fickelgruber,3/2020,253848.9090909091,0.14702430086078613
Pound,Chocolate Outer,Cheesecake,Egg Nog,Tiffany,Zebrabar,3/2020,21601.383647798746,0.19179442027067706
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,Zebrabar,3/2020,193984.2734375,0.12623421413584301
Pound,Chocolate Outer,Cheesecake,Hazelnut,Tiffany,Perk-a-Cola,3/2020,1236.25,0.21634480632236847
Pound,Chocolate Outer,Cherry Cola,Egg Nog,Opal,Zebrabar,3/2020,1677.5078125000002,0.20222126174542154
Pound,Chocolate Outer,Cherry Cola,Egg Nog,White,Dandy's Candies,3/2020,9060.337370242214,0.1934395899404902
Pound,Chocolate Outer,Coffee,Egg Nog,Opal,Zebrabar,3/2020,6432.321799307958,0.2699452082854028
Pound,Chocolate Outer,Coffee,Egg Nog,White,Dandy's Candies,3/2020,50574.625,-0.04957239521877771
Pound,Chocolate Outer,Irish Cream,Egg Nog,Opal,Fickelgruber,3/2020,6984.389273356402,0.0400877579448721
Pound,Chocolate Outer,Irish Cream,Egg Nog,White,Fickelgruber,3/2020,6965.361445783133,0.3903192706302606
Pound,Chocolate Outer,Lemon Custard,Egg Nog,Opal,Zebrabar,3/2020,2611.25,0.17468296453645243
Pound,Chocolate Outer,Lemon Custard,Egg Nog,White,Dandy's Candies,3/2020,2231.547169811321,0.3809178625815456
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,Slugworth,3/2020,9304.668674698794,0.23852502613115315
Pound,Chocolate Outer,Mango,Egg Nog,Black,Slugworth,3/2020,314.32038834951464,0.28186562021771266
Pound,Chocolate Outer,Mango,Egg Nog,Opal,Dandy's Candies,3/2020,2054.328561690525,0.1896260059472765
Pound,Chocolate Outer,Mango,Egg Nog,White,Zebrabar,3/2020,18613.222222222223,0.13859142858663007
Pound,Chocolate Outer,Mango,Fuzzy Navel,Black,Slugworth,3/2020,131.55526992287918,0.41357773845178303
Pound,Chocolate Outer,Mango,Fuzzy Navel,Opal,Dandy's Candies,3/2020,1005.4545454545455,0.5176824101729802
Pound,Chocolate Outer,Mango,Fuzzy Navel,White,Dandy's Candies,3/2020,803.1896551724138,0.6139713266897371
Pound,Chocolate Outer,Mango,Mojito,Black,Zebrabar,3/2020,36.37096774193548,0.21448551654693912
Pound,Chocolate Outer,Mango,Mojito,Olive,Dandy's Candies,3/2020,103.3653846153846,0.16075620473572336
Pound,Chocolate Outer,Mango,Mojito,Opal,Zebrabar,3/2020,345.6428571428572,0.26383846070129413
Pound,Chocolate Outer,Mango,Mojito,White,Perk-a-Cola,3/2020,191.11111111111111,0.3451184144213566
Pound,Chocolate Outer,Sour,Butter Rum,Tiffany,Zebrabar,3/2020,117.49826989619378,0.4494612459461867
Pound,Chocolate Outer,Sour,Egg Nog,Black,Slugworth,3/2020,777.0363321799307,0.24111933354593806
Pound,Chocolate Outer,Sour,Egg Nog,Opal,Slugworth,3/2020,5038.387096774193,0.3813125538652181
Pound,Chocolate Outer,Sour,Egg Nog,White,Zebrabar,3/2020,10736.622807017544,0.5175516502997622
Sponge,Chocolate Outer,Amaretto,Egg Nog,Olive,Perk-a-Cola,3/2020,19129.33333333333,0.7190845314891744
Sponge,Chocolate Outer,Blueberry,Egg Nog,Olive,Perk-a-Cola,3/2020,19569.69230769231,0.7294729235795495
Sponge,Chocolate Outer,Blueberry,Egg Nog,Opal,Slugworth,3/2020,11.175616835994196,0.71175377563494
Sponge,Chocolate Outer,Butter Milk,Egg Nog,Opal,Perk-a-Cola,3/2020,41871.69230769231,0.6767271410427464
Sponge,Chocolate Outer,Chocolate Mint,Egg Nog,Opal,Dandy's Candies,3/2020,1901.1290322580646,0.5336689226353152
Sponge,Chocolate Outer,Coconut,Egg Nog,Opal,Fickelgruber,3/2020,8250.491573033707,0.7294687108538495
Sponge,Chocolate Outer,Dill Pickle,Egg Nog,Olive,Dandy's Candies,3/2020,40608.41346153846,0.49481950110345374
Sponge,Chocolate Outer,Dill Pickle,Egg Nog,Opal,Slugworth,3/2020,150.36549707602342,0.619051711616046
Sponge,Chocolate Outer,Gingersnap,Egg Nog,Olive,Perk-a-Cola,3/2020,39307.041139240515,0.7878488713548703
Sponge,Chocolate Outer,Gingersnap,Egg Nog,Opal,Zebrabar,3/2020,20.098039215686274,0.6661043848592989
Tiramisu,Chocolate Outer,Chocolate,Egg Nog,Amethyst,Fickelgruber,3/2020,3272.80163599182,0.17757029233912153
Tiramisu,Chocolate Outer,Chocolate,Pear,Amethyst,Zebrabar,3/2020,11555.9375,0.1189474790435936
Tiramisu,Chocolate Outer,Chocolate,Rock and Rye,Teal,Slugworth,3/2020,120.98615916955015,0.15518036131909269
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Amethyst,Perk-a-Cola,3/2020,8608.709677419354,0.2774757473662189
Tiramisu,Chocolate Outer,Doughnut,Egg Nog,Teal,Zebrabar,3/2020,7892.142857142857,0.3978255797793594
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Amethyst,Fickelgruber,3/2020,4057.832278481013,0.31292384854350486
Tiramisu,Chocolate Outer,Doughnut,Ginger Beer,Teal,Fickelgruber,3/2020,428.0,0.7908877066640541
Tiramisu,Chocolate Outer,Doughnut,Pear,Amethyst,Fickelgruber,3/2020,38128.80258899677,0.3844570043310228
Tiramisu,Chocolate Outer,Doughnut,Pear,Burgundy,Zebrabar,3/2020,108.64285714285714,0.28597306019705193
Tiramisu,Chocolate Outer,Doughnut,Pear,Teal,Zebrabar,3/2020,3517.933333333333,0.37108543869302135
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Amethyst,Slugworth,3/2020,10146.898432174508,0.47871742296545816
Tiramisu,Chocolate Outer,Doughnut,Rock and Rye,Burgundy,Zebrabar,3/2020,1271.904761904762,0.3633105085344017
Butter,Candy Outer,Butter Pecan,Toffee,Taupe,Slugworth,4/2020,40735.10802469136,0.13883288194252988
Butter,Candy Outer,Ginger Lime,Banana,Amethyst,Slugworth,4/2020,299024.08854166674,0.29546536562165604
Butter,Candy Outer,Ginger Lime,Banana,Burgundy,Perk-a-Cola,4/2020,51795.97953216374,0.2680220244512294
Butter,Candy Outer,Ginger Lime,Banana,White,Fickelgruber,4/2020,13671.296296296296,0.3223897242902037
Butter,Candy Outer,Ginger Lime,Rum,Amethyst,Fickelgruber,4/2020,12274.009146341465,0.4048676230503865
Butter,Candy Outer,Ginger Lime,Rum,Burgundy,Fickelgruber,4/2020,371.2903225806451,0.2380861674277068
Butter,Candy Outer,Ginger Lime,Tutti Frutti,Amethyst,Slugworth,4/2020,12317.397660818711,0.11258698450163857
Butter,Candy Outer,Ginger Lime,Vanilla,Amethyst,Zebrabar,4/2020,157100.37650602407,0.19401043801587053
Butter,Candy Outer,Margarita,Mixed Berry,Amethyst,Slugworth,4/2020,47142.928571428565,0.19675729703118505
Butter,Candy Outer,Pear,Whipped Cream,White,Zebrabar,4/2020,936.2804878048779,0.16521561954367753
Butter,Candy Outer,Pink Lemonade,Banana,Amethyst,Dandy's Candies,4/2020,4258.339887640449,0.012273094124646305
Butter,Candy Outer,Raspberry Ginger Ale,Banana,Amethyst,Slugworth,4/2020,16918.132716049382,0.11441524933535399
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Amethyst,Slugworth,4/2020,58020.911949685535,0.32625256251337836
Butter,Candy Outer,Raspberry Ginger Ale,Vanilla,Burgundy,Slugworth,4/2020,117.22222222222223,0.18908069456632398
Butter,Candy Outer,Sassafras,Apricot,Amethyst,Fickelgruber,4/2020,74.78571428571429,-0.051183038211304974
Butter,Candy Outer,Spice,Passion Fruit,Amethyst,Fickelgruber,4/2020,5456.578050443081,0.24166100778799948
Butter,Candy Outer,Spice,Passion Fruit,White,Zebrabar,4/2020,2010.9477124183009,0.20006367204409986
Butter,Candy Outer,Spice,Whipped Cream,Amethyst,Zebrabar,4/2020,104499.05128205131,0.3076333120006348
Butter,Candy Outer,Spice,Whipped Cream,Burgundy,Slugworth,4/2020,42.48417721518987,0.4207402343849093
Butter,Candy Outer,Spice,Whipped Cream,White,Zebrabar,4/2020,6928.3804627249365,0.1347641923162315
Butter,Candy Outer,Wild Cherry Cream,Apricot,Amethyst,Fickelgruber,4/2020,132.94270833333334,-0.04759937298200222
Butter,Chocolate Outer,Cream Soda,Peppermint,Amethyst,Zebrabar,4/2020,140637.14285714287,0.015297388840211508
Butter,Chocolate Outer,Cream Soda,Peppermint,Burgundy,Dandy's Candies,4/2020,5698.392857142857,0.18770990779833793
Butter,Chocolate Outer,Horchata,Dill Pickle,Amethyst,Fickelgruber,4/2020,90677.41228070176,0.07201937429824556
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Amethyst,Dandy's Candies,4/2020,46247.0,0.03487453460272169
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Black,Zebrabar,4/2020,54.83333333333334,0.2776591577623511
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Burgundy,Perk-a-Cola,4/2020,808.2857142857142,0.27346625721098905
Butter,Chocolate Outer,Kettle Corn,Black Cherry,Opal,Slugworth,4/2020,8104.40251572327,0.1324197246039072
Butter,Chocolate Outer,Kettle Corn,Black Cherry,White,Fickelgruber,4/2020,3569.0359477124184,0.028593385876568417
Butter,Chocolate Outer,Lemon Bar,Wild Cherry Cream,Amethyst,Dandy's Candies,4/2020,71138.51966292135,0.039962286970758654
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Amethyst,Perk-a-Cola,4/2020,79091.23475609756,-0.0746829379837162
Butter,Chocolate Outer,Orange Pineapple	P,Papaya,Burgundy,Perk-a-Cola,4/2020,1432.2712418300653,0.09039156408961768
Butter,Chocolate Outer,Plum,Black Cherry,Amethyst,Fickelgruber,4/2020,30221.5,-0.09617081809747935
Butter,Chocolate Outer,Plum,Black Cherry,Opal,Fickelgruber,4/2020,9772.200520833334,0.07168969455433052
Butter,Chocolate Outer,Plum,Black Cherry,White,Perk-a-Cola,4/2020,10861.245674740483,0.10871461134482767
Butter,Chocolate Outer,Plum,Mango,Black,Slugworth,4/2020,3578.592162554427,0.11853670916438722
Butter,Jelly Filled,Orange,Cucumber,Amethyst,Slugworth,4/2020,42876.375,0.0852229627925774
Butter,Jelly Filled,Orange,Cucumber,Burgundy,Dandy's Candies,4/2020,15617.489114658929,0.4135237151961644
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Citrine,Slugworth,4/2020,494.57142857142856,0.3175722408945309
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Rose,Perk-a-Cola,4/2020,13799.769319492505,0.39323566434964896
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Slate,Perk-a-Cola,4/2020,916.3717948717947,0.442021099271668
Cheese,Chocolate Outer,Butter Toffee,Egg Nog,Teal,Zebrabar,4/2020,2185.3410740203194,0.46471087752680035
