Base Cake,Truffle Type,Primary Flavor,Secondary Flavor,Color Group,Width,Height,Net Sales Quantity in KG,EBITDA,Product
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,811,180,2668.0,-636.52,Pound-Chocolate Outer-Mango-Butter Rum-Tiffany-811-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,179,150,634.9,-640.53,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-179-150
Pound,Chocolate Outer,Mango,Egg Nog,Black,1460,250,0.0,-646.14,Pound-Chocolate Outer-Mango-Egg Nog-Black-1460-250
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,611,180,1331.9,-653.4,Pound-Chocolate Outer-Mango-Butter Rum-Tiffany-611-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,428,140,1489.8,-656.0,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-428-140
Pound,Chocolate Outer,Sour,Egg Nog,Opal,1640,120,1909.0,-663.82,Pound-Chocolate Outer-Sour-Egg Nog-Opal-1640-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,Citrine,1540,150,0.0,-688.1,Pound-Chocolate Outer-Cheesecake-Egg Nog-Citrine-1540-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,356,140,1809.9,-720.5,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-356-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Black,1500,140,921.2,-759.88,Pound-Chocolate Outer-Cheesecake-Egg Nog-Black-1500-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Citrine,1470,150,0.0,-798.15,Pound-Chocolate Outer-Cheesecake-Egg Nog-Citrine-1470-150
Pound,Chocolate Outer,Sour,Egg Nog,White,1440,120,15352.0,-802.24,Pound-Chocolate Outer-Sour-Egg Nog-White-1440-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,Mint,1580,150,0.0,-812.28,Pound-Chocolate Outer-Cheesecake-Egg Nog-Mint-1580-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,Black,194,140,2808.3,-820.38,Pound-Chocolate Outer-Cheesecake-Egg Nog-Black-194-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,356,140,1232.7,-822.77,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-356-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,298,150,2102.1,-845.28,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-298-150
Pound,Chocolate Outer,Sour,Egg Nog,Black,650,120,250.7,-849.89,Pound-Chocolate Outer-Sour-Egg Nog-Black-650-120
Pound,Chocolate Outer,Mango,Egg Nog,White,1290,200,0.0,-872.17,Pound-Chocolate Outer-Mango-Egg Nog-White-1290-200
Pound,Chocolate Outer,Mango,Egg Nog,Opal,1580,180,0.0,-872.59,Pound-Chocolate Outer-Mango-Egg Nog-Opal-1580-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,155,150,997.4,-874.77,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-155-150
Pound,Chocolate Outer,Mango,Egg Nog,White,1400,200,3614.6,-885.7,Pound-Chocolate Outer-Mango-Egg Nog-White-1400-200
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,264,140,1908.0,-898.98,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-264-140
Pound,Chocolate Outer,Caramel Cream,Lemon,White,1420,330,33.1,-900.58,Pound-Chocolate Outer-Caramel Cream-Lemon-White-1420-330
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,1330,150,0.0,-917.09,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-1330-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,278,150,1704.5,-925.93,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-278-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,173,150,2557.0,-927.64,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-173-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,121,150,1238.8,-957.42,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-121-150
Pound,Chocolate Outer,Sour,Egg Nog,Opal,1340,110,6754.7,-1000.42,Pound-Chocolate Outer-Sour-Egg Nog-Opal-1340-110
Pound,Chocolate Outer,Sour,Egg Nog,White,1340,110,15448.6,-1040.54,Pound-Chocolate Outer-Sour-Egg Nog-White-1340-110
Pound,Chocolate Outer,Cheesecake,Egg Nog,Citrine,1330,150,0.0,-1055.69,Pound-Chocolate Outer-Cheesecake-Egg Nog-Citrine-1330-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,344,140,7253.2,-1056.33,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-344-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,248,150,4118.5,-1058.38,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-248-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,218,150,1758.7,-1062.09,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-218-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1290,145,36054.0,-1080.48,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1290-145
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,1500,140,3575.7,-1089.39,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-1500-140
Pound,Chocolate Outer,Mango,Egg Nog,Opal,1440,170,0.0,-1115.06,Pound-Chocolate Outer-Mango-Egg Nog-Opal-1440-170
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1140,120,8867.0,-1179.98,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1140-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,372,140,2351.3,-1222.28,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-372-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,296,140,3495.9,-1274.34,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-296-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,344,140,7075.2,-1318.94,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-344-140
Pound,Chocolate Outer,Irish Cream,Egg Nog,White,700,120,118.0,-1326.09,Pound-Chocolate Outer-Irish Cream-Egg Nog-White-700-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,240,140,2189.0,-1366.96,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-240-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Black,218,140,5747.4,-1390.58,Pound-Chocolate Outer-Cheesecake-Egg Nog-Black-218-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,218,140,20730.6,-1465.31,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-218-140
Pound,Chocolate Outer,Mango,Egg Nog,Black,1250,120,0.0,-1491.19,Pound-Chocolate Outer-Mango-Egg Nog-Black-1250-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1540,165,0.0,-1499.97,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1540-165
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,194,140,2962.9,-1519.36,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-194-140
Pound,Chocolate Outer,Mango,Egg Nog,White,520,200,2124.5,-1581.55,Pound-Chocolate Outer-Mango-Egg Nog-White-520-200
Pound,Chocolate Outer,Mango,Egg Nog,White,1360,180,0.0,-1583.78,Pound-Chocolate Outer-Mango-Egg Nog-White-1360-180
Pound,Chocolate Outer,Mango,Egg Nog,Olive,1290,200,0.0,-1621.67,Pound-Chocolate Outer-Mango-Egg Nog-Olive-1290-200
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,418,140,4475.4,-1655.02,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-418-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,288,140,4329.0,-1748.71,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-288-140
Pound,Chocolate Outer,Mango,Egg Nog,White,620,200,3487.6,-1782.64,Pound-Chocolate Outer-Mango-Egg Nog-White-620-200
Pound,Chocolate Outer,Mango,Egg Nog,Black,1290,200,0.0,-1816.61,Pound-Chocolate Outer-Mango-Egg Nog-Black-1290-200
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,194,140,4287.6,-1894.07,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-194-140
Pound,Chocolate Outer,Sour,Egg Nog,White,1460,180,761.0,-1898.04,Pound-Chocolate Outer-Sour-Egg Nog-White-1460-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,418,140,3838.4,-2006.15,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-418-140
Pound,Chocolate Outer,Irish Cream,Egg Nog,Opal,700,120,176.0,-2015.82,Pound-Chocolate Outer-Irish Cream-Egg Nog-Opal-700-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,264,140,5798.0,-2021.33,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-264-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,334,140,7309.5,-2047.69,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-334-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,228,140,5355.0,-2062.24,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-228-140
Pound,Chocolate Outer,Caramel Cream,Kiwi,Opal,1420,230,2346.6,-2142.49,Pound-Chocolate Outer-Caramel Cream-Kiwi-Opal-1420-230
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,306,140,8577.9,-2184.09,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-306-140
Pound,Chocolate Outer,Mango,Egg Nog,White,1600,200,10725.3,-2231.95,Pound-Chocolate Outer-Mango-Egg Nog-White-1600-200
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,1340,140,6628.0,-2362.06,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-1340-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1190,155,9188.8,-2417.81,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1190-155
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,1430,165,69962.0,-2520.16,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-1430-165
Pound,Chocolate Outer,Cheesecake,Egg Nog,Tiffany,1320,150,2809.0409999999997,-2522.07,Pound-Chocolate Outer-Cheesecake-Egg Nog-Tiffany-1320-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,1435,150,12720.4,-2523.07,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-1435-150
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,810,180,3789.0,-2688.31,Pound-Chocolate Outer-Mango-Butter Rum-Tiffany-810-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,265,140,8653.5,-2801.63,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-265-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1500,140,13847.0,-2903.85,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1500-140
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,710,180,17589.0,-2938.74,Pound-Chocolate Outer-Mango-Butter Rum-Tiffany-710-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,218,140,12973.1,-3096.22,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-218-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1220,155,63527.4,-3337.2,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1220-155
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,254,140,11471.5,-3432.16,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-254-140
Pound,Chocolate Outer,Sour,Egg Nog,White,1320,110,44763.5,-3500.67,Pound-Chocolate Outer-Sour-Egg Nog-White-1320-110
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,288,140,9873.0,-3590.74,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-288-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,298,140,12902.7,-3622.93,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-298-140
Pound,Chocolate Outer,Sour,Egg Nog,White,1460,120,1274.2,-3804.09,Pound-Chocolate Outer-Sour-Egg Nog-White-1460-120
Pound,Chocolate Outer,Mango,Egg Nog,White,1460,180,13529.0,-4002.63,Pound-Chocolate Outer-Mango-Egg Nog-White-1460-180
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,348,120,17444.9,-4037.87,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-348-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,384,140,12147.1,-4784.37,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-384-140
Pound,Chocolate Outer,Mango,Butter Rum,Tiffany,610,180,3788.498,-4920.55,Pound-Chocolate Outer-Mango-Butter Rum-Tiffany-610-180
Pound,Chocolate Outer,Cheesecake,Hazelnut,Tiffany,1500,150,7750.0,-5417.64,Pound-Chocolate Outer-Cheesecake-Hazelnut-Tiffany-1500-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,254,140,23953.5,-5435.31,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-254-140
Pound,Chocolate Outer,Cheesecake,Egg Nog,White,2020,155,90287.0,-5591.47,Pound-Chocolate Outer-Cheesecake-Egg Nog-White-2020-155
Pound,Chocolate Outer,Black Licorice,Egg Nog,Opal,1650,100,-2057.0,-5693.81,Pound-Chocolate Outer-Black Licorice-Egg Nog-Opal-1650-100
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,338,140,44608.9,-5772.75,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-338-140
Pound,Chocolate Outer,Cheesecake,Hazelnut,Tiffany,1290,150,8074.0,-5946.38,Pound-Chocolate Outer-Cheesecake-Hazelnut-Tiffany-1290-150
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1605,165,0.0,-6026.47,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1605-165
Pound,Chocolate Outer,Caramel Cream,Black Currant,Opal,1420,300,-362.851,-6170.56,Pound-Chocolate Outer-Caramel Cream-Black Currant-Opal-1420-300
Pound,Chocolate Outer,Bavarian Cream,Lemon,Tiffany,1420,350,22053.717,-6306.01,Pound-Chocolate Outer-Bavarian Cream-Lemon-Tiffany-1420-350
Pound,Chocolate Outer,Mango,Egg Nog,Mint,1660,180,0.0,-6312.03,Pound-Chocolate Outer-Mango-Egg Nog-Mint-1660-180
Pound,Chocolate Outer,Mango,Egg Nog,Opal,1440,180,18998.0,-6900.59,Pound-Chocolate Outer-Mango-Egg Nog-Opal-1440-180
Pound,Chocolate Outer,Mango,Egg Nog,Black,650,120,3216.5,-7146.25,Pound-Chocolate Outer-Mango-Egg Nog-Black-650-120
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,1630,165,0.0,-7227.2,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-1630-165
Pound,Chocolate Outer,Mango,Egg Nog,White,720,200,18092.3,-7698.29,Pound-Chocolate Outer-Mango-Egg Nog-White-720-200
Pound,Chocolate Outer,Cheesecake,Egg Nog,Opal,240,140,54836.4,-8742.38,Pound-Chocolate Outer-Cheesecake-Egg Nog-Opal-240-140
Pound,Candy Outer,Vanilla,Tangerine,White,1420,450,64609.497,-10144.83,Pound-Candy Outer-Vanilla-Tangerine-White-1420-450
Pound,Chocolate Outer,Mango,Egg Nog,White,1440,180,106387.0,-38805.66,Pound-Chocolate Outer-Mango-Egg Nog-White-1440-180
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,Opal,604,160,90593.0,339925.61,Chiffon-Chocolate Outer-Grand Mariner-Rock and Rye-Opal-604-160
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,Opal,604,100,22995.0,116100.15,Chiffon-Chocolate Outer-Grand Mariner-Rock and Rye-Opal-604-100
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,520,230,121199.0,77366.65,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-520-230
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,300,170,38275.0,73863.84,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-300-170
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,300,170,23693.0,59768.12,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-300-170
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,650,150,15588.2,55473.99,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-650-150
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,630,260,52717.0,45034.1,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-630-260
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,310,305,21636.84,25497.94,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-310-305
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,620,315,17627.0,22880.9,Chiffon-Chocolate Outer-Fruit Punch-Egg Nog-White-620-315
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,1050,400,6175.0,22704.65,Chiffon-Chocolate Outer-Watermelon-Egg Nog-White-1050-400
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,586,310,22650.0,21574.45,Chiffon-Chocolate Outer-Plum-Egg Nog-Black-586-310
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,Teal,320,150,24423.0,18131.14,Chiffon-Chocolate Outer-Acai Berry-Egg Nog-Teal-320-150
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,300,270,14277.0,17239.85,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-300-270
Chiffon,Chocolate Outer,Plum,Egg Nog,Opal,1285,310,12488.8,17017.86,Chiffon-Chocolate Outer-Plum-Egg Nog-Opal-1285-310
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,620,200,12354.0,14648.27,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-620-200
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,470,200,21668.5,13717.08,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-470-200
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,620,150,11835.0,12931.39,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-620-150
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,320,230,3520.0,12749.15,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-320-230
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,520,305,13351.0,12634.67,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-520-305
Chiffon,Chocolate Outer,Grand Mariner,Pear,White,450,100,9265.0,11548.93,Chiffon-Chocolate Outer-Grand Mariner-Pear-White-450-100
Chiffon,Chocolate Outer,Toasted Coconut,Egg Nog,White,620,730,10622.0,11313.77,Chiffon-Chocolate Outer-Toasted Coconut-Egg Nog-White-620-730
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,315,150,15722.0,11012.77,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-315-150
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,468,300,4676.0,9288.25,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-468-300
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,1020,130,10248.8,8933.88,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-1020-130
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,375,250,8915.3,8509.62,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-375-250
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,375,200,10921.7,7668.89,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-375-200
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,1290,100,12695.0,7582.96,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-1290-100
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,605,150,15025.0,7289.36,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-605-150
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,311,310,29939.0,7090.52,Chiffon-Chocolate Outer-Watermelon-Egg Nog-White-311-310
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,470,250,8475.7,6883.89,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-470-250
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,470,150,7615.4,6098.57,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-470-150
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,315,270,3000.0,5994.39,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-315-270
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,485,760,5775.0,5917.69,Chiffon-Chocolate Outer-Watermelon-Egg Nog-White-485-760
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,440,170,2200.0,5846.67,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-440-170
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,293,760,9965.0,5801.48,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-293-760
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,520,210,4867.0,5635.26,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-520-210
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,1020,400,1497.0,4999.78,Chiffon-Chocolate Outer-Watermelon-Egg Nog-White-1020-400
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,320,150,4960.0,4792.29,Chiffon-Chocolate Outer-Orange Brandy-Egg Nog-Teal-320-150
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,620,210,14235.0,4745.02,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-620-210
Chiffon,Chocolate Outer,Watermelon,Egg Nog,White,300,150,17260.0,4464.59,Chiffon-Chocolate Outer-Watermelon-Egg Nog-White-300-150
Chiffon,Chocolate Outer,Pecan,Egg Nog,White,500,200,8496.0,4344.65,Chiffon-Chocolate Outer-Pecan-Egg Nog-White-500-200
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,310,440,2100.0,4235.63,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-310-440
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,300,800,2000.0,4131.8,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-300-800
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,484,305,3746.0,4027.79,Chiffon-Chocolate Outer-Fruit Punch-Egg Nog-White-484-305
Chiffon,Chocolate Outer,Wintergreen,Egg Nog,White,349,120,2190.0,3844.52,Chiffon-Chocolate Outer-Wintergreen-Egg Nog-White-349-120
Chiffon,Chocolate Outer,Creme de Menthe,Egg Nog,White,600,310,8384.0,3653.92,Chiffon-Chocolate Outer-Creme de Menthe-Egg Nog-White-600-310
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,315,260,3255.0,3622.33,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-315-260
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,300,320,2819.0,3579.4,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-300-320
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,650,310,2843.0,3555.51,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-650-310
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,510,320,2034.0,3112.05,Chiffon-Chocolate Outer-Plum-Egg Nog-Black-510-320
Chiffon,Chocolate Outer,Plum,Egg Nog,Opal,1300,310,2433.5,3037.26,Chiffon-Chocolate Outer-Plum-Egg Nog-Opal-1300-310
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,600,320,2160.0,2992.28,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-600-320
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,630,120,1100.0,2976.96,Chiffon-Chocolate Outer-Fruit Punch-Egg Nog-White-630-120
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,620,150,5400.0,2774.25,Chiffon-Chocolate Outer-Orange Brandy-Egg Nog-Teal-620-150
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,520,203,4987.0,2588.04,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-520-203
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Opal,320,320,707.0,2477.88,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Opal-320-320
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,White,298,200,5500.0,2452.38,Chiffon-Chocolate Outer-Acai Berry-Egg Nog-White-298-200
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,293,330,5260.0,2362.5,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-293-330
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,475,200,3185.0,2312.98,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-475-200
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,298,320,1917.0,2259.71,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-298-320
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,310,150,6387.0,2248.71,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-310-150
Chiffon,Chocolate Outer,Grand Mariner,Rock and Rye,Opal,442,100,697.8,2175.52,Chiffon-Chocolate Outer-Grand Mariner-Rock and Rye-Opal-442-100
Chiffon,Chocolate Outer,Ginger Ale,Egg Nog,White,520,320,2150.0,2095.02,Chiffon-Chocolate Outer-Ginger Ale-Egg Nog-White-520-320
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,White,320,150,2200.0,2082.38,Chiffon-Chocolate Outer-Acai Berry-Egg Nog-White-320-150
Chiffon,Chocolate Outer,Acai Berry,Egg Nog,White,504,170,3875.0,2066.21,Chiffon-Chocolate Outer-Acai Berry-Egg Nog-White-504-170
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,White,340,100,2100.0,1881.69,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-White-340-100
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,620,120,1919.0,1774.33,Chiffon-Chocolate Outer-Fruit Punch-Egg Nog-White-620-120
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,475,380,4021.0,1773.83,Chiffon-Chocolate Outer-Plum-Egg Nog-Black-475-380
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,504,150,2650.0,1727.58,Chiffon-Chocolate Outer-Orange Brandy-Egg Nog-Teal-504-150
Chiffon,Chocolate Outer,Orange Brandy,Egg Nog,Teal,590,300,4690.0,1660.87,Chiffon-Chocolate Outer-Orange Brandy-Egg Nog-Teal-590-300
Chiffon,Chocolate Outer,Plum,Egg Nog,Black,310,320,1893.0,1660.21,Chiffon-Chocolate Outer-Plum-Egg Nog-Black-310-320
Chiffon,Chocolate Outer,Fruit Punch,Egg Nog,White,630,315,1000.0,1588.66,Chiffon-Chocolate Outer-Fruit Punch-Egg Nog-White-630-315
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,300,270,1100.0,1519.32,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-300-270
Chiffon,Chocolate Outer,Grand Mariner,Egg Nog,Black,320,260,334.0,1302.75,Chiffon-Chocolate Outer-Grand Mariner-Egg Nog-Black-320-260
